geneName	AL3.1,AL3.2	ALP.1,ALP.2	AWP.1,AWP.2	EL3.1,EL3.2	ELP.1,ELP.2	EWP.1,EWP.2	LL3.1,LL3.2	LLP.1,LLP.2	LWP.1,LWP.2	WL3.1,WL3.2	WLP.1,WLP.2	WWP.1,WWP.2
FBgn0000382	1461.13.00	19.01	181.37.00	48.11.00	67.18.00	69.52.00	165.09.00	13.42	104.58.00	137.12.00	31.41.00	546.12.00
FBgn0000384	102.19.00	185.34.00	217.47.00	67.51.00	82.27.00	108.56.00	63.22.00	62.57.00	201.37.00	122.36.00	201.13.00	44.01.00
FBgn0000392	7169.58.00	10048.47.00	1475.51.00	5835.18.00	2088.59.00	6721.47.00	13741.54.00	3863.44.00	10265.18.00	799.41.00	14362.17.00	11216.41.00
FBgn0000394	104.17.00	148.32.00	171.57.00	45.16.00	106.42.00	176.38.00	151.19.00	209.56.00	43.12.00	205.35.00	115.51.00	120.39.00
FBgn0000395	821.45.00	22.35	56.33.00	789.42.00	95.48.00	34.27.00	71.59.00	140.31.00	144.48.00	118.54.00	55.33.00	100.02.00
FBgn0000404	92.06.00	910.07.00	109.02.00	120.16.00	1609.37.00	113.19.00	140.52.00	13498.16.00	146.43.00	168.44.00	11901.04.00	167.04.00
FBgn0000405	150.23.00	529.57.00	200.47.00	105.07.00	13685.25.00	173.28.00	147.37.00	7864.24.00	79.45.00	210.05.00	9798.26.00	100.11.00
FBgn0000406	1654.59.00	740.41.00	2387.44.00	4883.09.00	3631.25.00	5689.52.00	5654.05.00	4274.37.00	8202.59.00	4959.33.00	12582.09.00	1366.55.00
FBgn0000409	199.48.00	442.11.00	257.45.00	158.08.00	369.37.00	203.32.00	274.22.00	423.32.00	297.47.00	188.27.00	50.54.00	269.12.00
FBgn0000411	61.31.00	33.15.00	1295.17.00	205.36.00	1097.29.00	1026.41.00	1015.58.00	10113.48.00	1323.58.00	5426.46.00	408.42.00	6435.21.00
FBgn0000412	404.46.00	204.22.00	394.37.00	483.27.00	138.21.00	383.17.00	637.34.00	30.48.00	354.54.00	702.42.00	76.01.00	528.11.00
FBgn0000414	142.27.00	993.32.00	117.58.00	54.38.00	83.48.00	175.58.00	50.17.00	1226.35.00	151.11.00	54.45.00	27.58.00	114.25.00
FBgn0000416	141.39.00	146.04.00	220.35.00	122.09.00	151.26.00	143.49.00	121.04.00	192.46.00	152.41.00	168.51.00	121.08.00	175.21.00
FBgn0000422	1580.02.00	120.31.00	1208.41.00	34.17.00	84.58.00	116.16.00	36.53.00	146.37.00	1195.21.00	886.54.00	72.05.00	89.39.00
FBgn0000426	314.31.00	48.52.00	234.15.00	248.32.00	125.36.00	207.01.00	351.15.00	46.04.00	323.11.00	315.55.00	161.09.00	337.56.00
FBgn0000427	6448.49.00	10255.56.00	195.23.00	3809.35.00	3391.13.00	8912.05.00	2847.39.00	281.28.00	7143.02.00	0	2493.19.00	268.05.00
FBgn0000439	29.57.00	0	177.28.00	697.18.00	147.23.00	174.43.00	0	0	0	9993.15.00	0	0
FBgn0000442	665.17.00	1920.24.00	4471.43.00	14675.06.00	13696.12.00	15785.59.00	16338.25.00	3957.14.00	0	1063.59.00	2604.37.00	0
